ANIO|CLAVE DE FORMULARIO|CLAVE DE LA ENTIDAD|TIPO DE PRODUCTO O SERVICIO|TIPO DE CLIENTE O USUARIO|CLASIFICACION POR GRADO DE RIESGO|PAIS DE NACIONALIDAD|PAIS DE RESIDENCIA|ENTIDAD FEDERATIVA DE RESIDENCIA|ACTIVIDAD ECONOMICA|NUMERO DE CLIENTES O  USUARIOS ACTIVOS AL CIERRE
2025|A2|12345|1|1|1|157|157|19|4200002|11
2025|A2|12345|1|1|1|157|157|19|4219011|4
2025|A2|12345|1|1|1|157|157|19|4221016|7
2025|A2|12345|1|1|1|157|157|19|4222014|12
2025|A2|12345|1|1|1|157|157|19|4229010|2
2025|A2|12345|1|1|1|157|157|19|4291019|7
2025|A2|12345|1|1|1|157|157|19|4293015|6
2025|A2|12345|1|1|1|157|157|19|4299013|8
2025|A2|12345|1|1|1|157|157|19|5011903|7
2025|A2|12345|1|1|1|157|157|19|5100003|1
2025|A2|12345|1|1|1|157|157|19|5111018|2
2025|A2|12345|1|1|1|157|157|19|6100002|29
2025|A2|12345|1|1|1|157|157|19|6112015|12
2025|A2|12345|1|1|1|157|157|19|6112023|6
2025|A2|12345|1|1|1|157|157|19|6113013|1
2025|A2|12345|1|1|1|157|157|19|6119011|1
2025|A2|12345|1|1|1|157|157|19|6121032|4
2025|A2|12345|1|1|1|157|157|19|6122014|21
2025|A2|12345|1|1|1|157|157|19|6124010|10
2025|A2|12345|1|1|1|157|157|19|6131015|1
2025|A2|12345|1|1|1|157|157|19|6131023|220
2025|A2|12345|1|1|1|157|157|19|6132013|33
2025|A2|12345|1|1|1|157|157|19|6132021|6
2025|A2|12345|1|1|1|157|157|19|6132047|9
2025|A2|12345|1|1|1|157|157|19|6132055|24
2025|A2|12345|1|1|1|157|157|19|6132071|14
2025|A2|12345|1|1|1|157|157|19|6133029|3
2025|A2|12345|1|1|1|157|157|19|6134019|1
2025|A2|12345|1|1|1|157|157|19|6135017|19
2025|A2|12345|1|1|1|157|157|19|6136015|1
2025|A2|12345|1|1|1|157|157|19|6136023|5
2025|A2|12345|1|1|1|157|157|19|6200000|33
2025|A2|12345|1|1|1|157|157|19|6211015|11
2025|A2|12345|1|1|1|157|157|19|6211023|103
2025|A2|12345|1|1|1|157|157|19|6212013|65
2025|A2|12345|1|1|1|157|157|19|6215017|5
2025|A2|12345|1|1|1|157|157|19|6215025|25
2025|A2|12345|1|1|1|157|157|19|6216023|21
2025|A2|12345|1|1|1|157|157|19|6216031|3
2025|A2|12345|1|1|1|157|157|19|6223010|2
2025|A2|12345|1|1|1|157|157|19|6225016|11
2025|A2|12345|1|1|1|157|157|19|6225024|20
2025|A2|12345|1|1|1|157|157|19|6226022|4
2025|A2|12345|1|1|1|157|157|19|6227012|2
2025|A2|12345|1|1|1|157|157|19|6229018|1
2025|A2|12345|1|1|1|157|157|19|6231013|7
2025|A2|12345|1|1|1|157|157|19|6231021|26
2025|A2|12345|1|1|1|157|157|19|6232011|14
2025|A2|12345|1|1|1|157|157|19|6233019|19
2025|A2|12345|1|1|1|157|157|19|6239017|11
2025|A2|12345|1|1|1|157|157|19|6300008|41
2025|A2|12345|1|1|1|157|157|19|6311039|2
2025|A2|12345|1|1|1|157|157|19|6312011|5
2025|A2|12345|1|1|1|157|157|19|6314017|2
2025|A2|12345|1|1|1|157|157|19|6321012|2
2025|A2|12345|1|1|1|157|157|19|6322010|12
2025|A2|12345|1|1|1|157|157|19|6323018|2
2025|A2|12345|1|1|1|157|157|19|6324016|2
2025|A2|12345|1|1|1|157|157|19|6325014|1
2025|A2|12345|1|1|1|157|157|19|6325030|12
2025|A2|12345|1|1|1|157|157|19|6326020|9
2025|A2|12345|1|1|1|157|157|19|6329016|39
2025|A2|12345|1|1|1|157|157|19|6400006|7
2025|A2|12345|1|1|1|157|157|19|6411011|34
2025|A2|12345|1|1|1|157|157|19|6412019|11
2025|A2|12345|1|1|1|157|157|19|6419015|2
2025|A2|12345|1|1|1|157|157|19|6419023|1
2025|A2|12345|1|1|1|157|157|19|6500004|3
2025|A2|12345|1|1|1|157|157|19|6513015|3
2025|A2|12345|1|1|1|157|157|19|6515011|1
2025|A2|12345|1|1|1|157|157|19|6619037|10
2025|A2|12345|1|1|1|157|157|19|6619045|2
2025|A2|12345|1|1|1|157|157|19|6619053|1
2025|A2|12345|1|1|1|157|157|19|6621016|3
2025|A2|12345|1|1|1|157|157|19|6622022|27
2025|A2|12345|1|1|1|157|157|19|6623020|3
2025|A2|12345|1|1|1|157|157|19|6624010|4
2025|A2|12345|1|1|1|157|157|19|6625018|2
2025|A2|12345|1|1|1|157|157|19|6626024|2
2025|A2|12345|1|1|1|157|157|19|6626032|3
2025|A2|12345|1|1|1|157|157|19|6627014|1
2025|A2|12345|1|1|1|157|157|19|6629010|7
2025|A2|12345|1|1|1|157|157|19|6692017|1
2025|A2|12345|1|1|1|157|157|19|6693015|1
2025|A2|12345|1|1|1|157|157|19|6699021|1
2025|A2|12345|1|1|1|157|157|19|6699039|4
2025|A2|12345|1|1|1|157|157|19|6699047|3
2025|A2|12345|1|1|1|157|157|19|6700000|5
2025|A2|12345|1|1|1|157|157|19|6713011|3
2025|A2|12345|1|1|1|157|157|19|6714035|5
2025|A2|12345|1|1|1|157|157|19|6719019|2
2025|A2|12345|1|1|1|157|157|19|6721022|4
2025|A2|12345|1|1|1|157|157|19|6722012|1
2025|A2|12345|1|1|1|157|157|19|6729026|5
2025|A2|12345|1|1|1|157|157|19|6800008|3
2025|A2|12345|1|1|1|157|157|19|6811013|9
2025|A2|12345|1|1|1|157|157|19|6812011|3
2025|A2|12345|1|1|1|157|157|19|6813027|2
2025|A2|12345|1|1|1|157|157|19|6815015|2
2025|A2|12345|1|1|1|157|157|19|6816013|5
2025|A2|12345|1|1|1|157|157|19|6819017|2
2025|A2|12345|1|1|1|157|157|19|6900006|6
2025|A2|12345|1|1|1|157|157|19|6911045|2
2025|A2|12345|1|1|1|157|157|19|6993019|1
2025|A2|12345|1|1|1|157|157|19|6999025|3
2025|A2|12345|1|1|1|157|157|19|6999041|2
2025|A2|12345|1|1|1|157|157|19|6999083|3
2025|A2|12345|1|1|1|157|157|19|6999108|156
2025|A2|12345|1|1|1|157|157|19|6999132|1
2025|A2|12345|1|1|1|157|157|19|6999158|9
2025|A2|12345|1|1|1|157|157|19|6999166|10
2025|A2|12345|1|1|1|157|157|19|6999900|19
2025|A2|12345|1|1|1|157|157|19|7100001|42
2025|A2|12345|1|1|1|157|157|19|7111016|39
2025|A2|12345|1|1|1|157|157|19|7112014|2
2025|A2|12345|1|1|1|157|157|19|7113012|423
2025|A2|12345|1|1|1|157|157|19|7114010|29
2025|A2|12345|1|1|1|157|157|19|7115018|36
2025|A2|12345|1|1|1|157|157|19|7119010|23
2025|A2|12345|1|1|1|157|157|19|7121015|21
2025|A2|12345|1|1|1|157|157|19|7122013|1
2025|A2|12345|1|1|1|157|157|19|7123011|17
2025|A2|12345|1|1|1|157|157|19|7129019|67
2025|A2|12345|1|1|1|157|157|19|7131014|1
2025|A2|12345|1|1|1|157|157|19|7311012|22
2025|A2|12345|1|1|1|157|157|19|7400005|10
2025|A2|12345|1|1|1|157|157|19|7414014|1
2025|A2|12345|1|1|1|157|157|19|7500003|24
2025|A2|12345|1|1|1|157|157|19|7511018|9
2025|A2|12345|1|1|1|157|157|19|7512016|4
2025|A2|12345|1|1|1|157|157|19|7600001|6
2025|A2|12345|1|1|1|157|157|19|7611016|1
2025|A2|12345|1|1|1|157|157|19|7613004|1
2025|A2|12345|1|1|1|157|157|19|7613012|14
2025|A2|12345|1|1|1|157|157|19|7613905|2
2025|A2|12345|1|1|1|157|157|19|7614010|2
2025|A2|12345|1|1|1|157|157|19|8100000|1
2025|A2|12345|1|1|1|157|157|19|8113011|1
2025|A2|12345|1|1|1|157|157|19|8123010|3
2025|A2|12345|1|1|1|157|157|19|8123052|5
2025|A2|12345|1|1|1|157|157|19|8123060|1
2025|A2|12345|1|1|1|157|157|19|8123078|2
2025|A2|12345|1|1|1|157|157|19|8123903|2
2025|A2|12345|1|1|1|157|157|19|8131013|4
2025|A2|12345|1|1|1|157|157|19|8131021|9
2025|A2|12345|1|1|1|157|157|19|8133035|4
2025|A2|12345|1|1|1|157|157|19|8141012|1
2025|A2|12345|1|1|1|157|157|19|8151011|1
2025|A2|12345|1|1|1|157|157|19|8151029|1
2025|A2|12345|1|1|1|157|157|19|8200008|2
2025|A2|12345|1|1|1|157|157|19|8211021|1
2025|A2|12345|1|1|1|157|157|19|8219017|15
2025|A2|12345|1|1|1|157|157|19|8219025|1
2025|A2|12345|1|1|1|157|157|19|8219033|1
2025|A2|12345|1|1|1|157|157|19|8219041|31
2025|A2|12345|1|1|1|157|157|19|8219075|1
2025|A2|12345|1|1|1|157|157|19|8219083|3
2025|A2|12345|1|1|1|157|157|19|8300006|7
2025|A2|12345|1|1|1|157|157|19|8311011|9
2025|A2|12345|1|1|1|157|157|19|8312019|63
2025|A2|12345|1|1|1|157|157|19|8313017|5
2025|A2|12345|1|1|1|157|157|19|8314015|14
2025|A2|12345|1|1|1|157|157|19|8400004|100
2025|A2|12345|1|1|1|157|157|19|8411019|1
2025|A2|12345|1|1|1|157|157|19|8412017|7
2025|A2|12345|1|1|1|157|157|19|8413015|35
2025|A2|12345|1|1|1|157|157|19|8414013|5
2025|A2|12345|1|1|1|157|157|19|8415011|13
2025|A2|12345|1|1|1|157|157|19|8419013|1
2025|A2|12345|1|1|1|157|157|19|8421018|22
2025|A2|12345|1|1|1|157|157|19|8422016|12
2025|A2|12345|1|1|1|157|157|19|8424012|28
2025|A2|12345|1|1|1|157|157|19|8425010|3
2025|A2|12345|1|1|1|157|157|19|8426018|22
2025|A2|12345|1|1|1|157|157|19|8427016|24
2025|A2|12345|1|1|1|157|157|19|8428014|23
2025|A2|12345|1|1|1|157|157|19|8429012|7
2025|A2|12345|1|1|1|157|157|19|8429020|1
2025|A2|12345|1|1|1|157|157|19|8429038|14
2025|A2|12345|1|1|1|157|157|19|8429046|1
2025|A2|12345|1|1|1|157|157|19|8500002|6
2025|A2|12345|1|1|1|157|157|19|8511025|1
2025|A2|12345|1|1|1|157|157|19|8519011|2
2025|A2|12345|1|1|1|157|157|19|8521016|3
2025|A2|12345|1|1|1|157|157|19|8522014|3
2025|A2|12345|1|1|1|157|157|19|8524010|152
2025|A2|12345|1|1|1|157|157|19|8600000|11
2025|A2|12345|1|1|1|157|157|19|8611015|6
2025|A2|12345|1|1|1|157|157|19|8612013|1
2025|A2|12345|1|1|1|157|157|19|8619019|6
2025|A2|12345|1|1|1|157|157|19|8700008|60
2025|A2|12345|1|1|1|157|157|19|8711013|4
2025|A2|12345|1|1|1|157|157|19|8711021|137
2025|A2|12345|1|1|1|157|157|19|8712011|85
2025|A2|12345|1|1|1|157|157|19|8713019|2
2025|A2|12345|1|1|1|157|157|19|8714017|4
2025|A2|12345|1|1|1|157|157|19|8719017|12
2025|A2|12345|1|1|1|157|157|19|8721012|6
2025|A2|12345|1|1|1|157|157|19|8722010|2
2025|A2|12345|1|1|1|157|157|19|8723018|17
2025|A2|12345|1|1|1|157|157|19|8800006|25
2025|A2|12345|1|1|1|157|157|19|8813017|3
2025|A2|12345|1|1|1|157|157|19|8814015|4
2025|A2|12345|1|1|1|157|157|19|8819015|1
2025|A2|12345|1|1|1|157|157|19|8821010|2
2025|A2|12345|1|1|1|157|157|19|8824014|2
2025|A2|12345|1|1|1|157|157|19|8825012|1
2025|A2|12345|1|1|1|157|157|19|8826010|1
2025|A2|12345|1|1|1|157|157|19|8827018|5
2025|A2|12345|1|1|1|157|157|19|8829048|1
2025|A2|12345|1|1|1|157|157|19|8831019|3
2025|A2|12345|1|1|1|157|157|19|8833015|1
2025|A2|12345|1|1|1|157|157|19|8900004|162
2025|A2|12345|1|1|1|157|157|19|8911019|60
2025|A2|12345|1|1|1|157|157|19|8912017|2
2025|A2|12345|1|1|1|157|157|19|8913015|33
2025|A2|12345|1|1|1|157|157|19|8914013|20
2025|A2|12345|1|1|1|157|157|19|8915011|5
2025|A2|12345|1|1|1|157|157|19|8919013|39
2025|A2|12345|1|1|1|157|157|19|8922016|12
2025|A2|12345|1|1|1|157|157|19|8922024|15
2025|A2|12345|1|1|1|157|157|19|8924012|9
2025|A2|12345|1|1|1|157|157|19|8929020|23
2025|A2|12345|1|1|1|157|157|19|8931017|2
2025|A2|12345|1|1|1|157|157|19|8932015|15
2025|A2|12345|1|1|1|157|157|19|8933013|183
2025|A2|12345|1|1|1|157|157|19|8934011|13
