ANIO|CLAVE DE FORMULARIO|CLAVE DE LA ENTIDAD|TIPO DE PRODUCTO O SERVICIO|TIPO DE CLIENTE O USUARIO|CLASIFICACION POR GRADO DE RIESGO|PAIS DE NACIONALIDAD|PAIS DE RESIDENCIA|ENTIDAD FEDERATIVA DE RESIDENCIA|ACTIVIDAD ECONOMICA|NUMERO DE CLIENTES O  USUARIOS ACTIVOS AL CIERRE
2025|A2|12345|1|1|1|157|157|7|3596014|16
2025|A2|12345|1|1|1|157|157|7|3599034|1
2025|A2|12345|1|1|1|157|157|7|3599042|36
2025|A2|12345|1|1|1|157|157|7|3599076|2
2025|A2|12345|1|1|1|157|157|7|3599092|6
2025|A2|12345|1|1|1|157|157|7|3611010|1
2025|A2|12345|1|1|1|157|157|7|3621019|1
2025|A2|12345|1|1|1|157|157|7|3621027|22
2025|A2|12345|1|1|1|157|157|7|3631018|3
2025|A2|12345|1|1|1|157|157|7|3632016|3
2025|A2|12345|1|1|1|157|157|7|3639905|3
2025|A2|12345|1|1|1|157|157|7|3693018|4
2025|A2|12345|1|1|1|157|157|7|3694024|2
2025|A2|12345|1|1|1|157|157|7|3697010|1
2025|A2|12345|1|1|1|157|157|7|3699024|37
2025|A2|12345|1|1|1|157|157|7|3699032|26
2025|A2|12345|1|1|1|157|157|7|3711018|2
2025|A2|12345|1|1|1|157|157|7|3722023|1
2025|A2|12345|1|1|1|157|157|7|3729011|2
2025|A2|12345|1|1|1|157|157|7|3731016|2
2025|A2|12345|1|1|1|157|157|7|3791010|4
2025|A2|12345|1|1|1|157|157|7|3793016|8
2025|A2|12345|1|1|1|157|157|7|3793024|16
2025|A2|12345|1|1|1|157|157|7|3793032|7
2025|A2|12345|1|1|1|157|157|7|3811016|3
2025|A2|12345|1|1|1|157|157|7|3812014|19
2025|A2|12345|1|1|1|157|157|7|3812022|1
2025|A2|12345|1|1|1|157|157|7|3812030|1
2025|A2|12345|1|1|1|157|157|7|3815018|13
2025|A2|12345|1|1|1|157|157|7|3816016|1
2025|A2|12345|1|1|1|157|157|7|3819010|32
2025|A2|12345|1|1|1|157|157|7|3821015|9
2025|A2|12345|1|1|1|157|157|7|3892016|28
2025|A2|12345|1|1|1|157|157|7|3932010|5
2025|A2|12345|1|1|1|157|157|7|3932028|1
2025|A2|12345|1|1|1|157|157|7|3941029|2
2025|A2|12345|1|1|1|157|157|7|3951036|1
2025|A2|12345|1|1|1|157|157|7|3996016|1
2025|A2|12345|1|1|1|157|157|7|3997030|1
2025|A2|12345|1|1|1|157|157|7|3999101|14
2025|A2|12345|1|1|1|157|157|7|4111019|68
2025|A2|12345|1|1|1|157|157|7|4111027|67
2025|A2|12345|1|1|1|157|157|7|4111928|65
2025|A2|12345|1|1|1|157|157|7|4111936|4
2025|A2|12345|1|1|1|157|157|7|4111944|51
2025|A2|12345|1|1|1|157|157|7|4111952|8
2025|A2|12345|1|1|1|157|157|7|4112017|5
2025|A2|12345|1|1|1|157|157|7|4113015|8
2025|A2|12345|1|1|1|157|157|7|4121018|4
2025|A2|12345|1|1|1|157|157|7|4121026|7
2025|A2|12345|1|1|1|157|157|7|4123014|2
2025|A2|12345|1|1|1|157|157|7|4192019|1
2025|A2|12345|1|1|1|157|157|7|4193017|4
2025|A2|12345|1|1|1|157|157|7|4194015|3
2025|A2|12345|1|1|1|157|157|7|4199015|2
2025|A2|12345|1|1|1|157|157|7|4199908|18
2025|A2|12345|1|1|1|157|157|7|4211017|1
2025|A2|12345|1|1|1|157|157|7|4221016|6
2025|A2|12345|1|1|1|157|157|7|4222014|8
2025|A2|12345|1|1|1|157|157|7|4229010|2
2025|A2|12345|1|1|1|157|157|7|4291019|10
2025|A2|12345|1|1|1|157|157|7|4293015|1
2025|A2|12345|1|1|1|157|157|7|4299013|1
2025|A2|12345|1|1|1|157|157|7|5011010|61
2025|A2|12345|1|1|1|157|157|7|5012018|18
2025|A2|12345|1|1|1|157|157|7|5111018|4
2025|A2|12345|1|1|1|157|157|7|6111017|2
2025|A2|12345|1|1|1|157|157|7|6112015|7
2025|A2|12345|1|1|1|157|157|7|6112023|1
2025|A2|12345|1|1|1|157|157|7|6119011|4
2025|A2|12345|1|1|1|157|157|7|6121024|2
2025|A2|12345|1|1|1|157|157|7|6122014|23
2025|A2|12345|1|1|1|157|157|7|6126032|1
2025|A2|12345|1|1|1|157|157|7|6131015|5
2025|A2|12345|1|1|1|157|157|7|6131023|258
2025|A2|12345|1|1|1|157|157|7|6132013|10
2025|A2|12345|1|1|1|157|157|7|6132021|33
2025|A2|12345|1|1|1|157|157|7|6132039|4
2025|A2|12345|1|1|1|157|157|7|6132047|8
2025|A2|12345|1|1|1|157|157|7|6132055|5
2025|A2|12345|1|1|1|157|157|7|6132089|1
2025|A2|12345|1|1|1|157|157|7|6133029|3
2025|A2|12345|1|1|1|157|157|7|6134019|6
2025|A2|12345|1|1|1|157|157|7|6135017|9
2025|A2|12345|1|1|1|157|157|7|6136023|2
2025|A2|12345|1|1|1|157|157|7|6211015|2
2025|A2|12345|1|1|1|157|157|7|6211023|154
2025|A2|12345|1|1|1|157|157|7|6212013|17
2025|A2|12345|1|1|1|157|157|7|6215017|4
2025|A2|12345|1|1|1|157|157|7|6215025|4
