ANIO|CLAVE DEL FORMULARIO|CLAVE DE LA ENTIDAD|TIPO DE PRODUCTO O SERVICIO UTILIZADO|TIPO CLIENTE O USUARIO|ACTIVIDAD ECONOMICA|TIPO MONEDA|TIPO DE INSTRUMENTO MONETARIO|OPERACION DE ENTRADA-SALIDA|NUMERO DE OPERACIONES|MONTO DE LAS OPERACIONES
2025|B|12345|1|01|7121015|1|1|1|16|230
2025|B|12345|1|01|7122013|1|1|1|8|3200
2025|B|12345|1|01|7123011|1|1|1|40|13696
2025|B|12345|1|01|7129019|1|1|1|335|188660
2025|B|12345|1|01|7129902|1|1|1|55|22657
2025|B|12345|1|01|7131014|1|1|1|13|51768
2025|B|12345|1|01|7191018|1|1|1|2|750
2025|B|12345|1|01|7311012|1|1|1|26|3041
2025|B|12345|1|01|7414014|1|1|1|8|478
2025|B|12345|1|01|7512016|1|1|1|3|15852
2025|B|12345|1|01|7513014|1|1|1|9|62
2025|B|12345|1|01|7611016|1|1|1|15|7808
2025|B|12345|1|01|7613012|1|1|1|21|3218
2025|B|12345|1|01|7613905|1|1|1|1|72
2025|B|12345|1|01|8113128|1|1|1|2|1500
2025|B|12345|1|01|8123052|1|1|1|77|61246
2025|B|12345|1|01|8123060|1|1|1|190|202244
2025|B|12345|1|01|8123078|1|1|1|1|288
2025|B|12345|1|01|8133027|1|1|1|3|21
2025|B|12345|1|01|8219017|1|1|1|9|761
2025|B|12345|1|01|8219025|1|1|1|1|200
2025|B|12345|1|01|8219033|1|1|1|26|1255
2025|B|12345|1|01|8219041|1|1|1|199|227174
2025|B|12345|1|15|8219041|1|1|1|24|8892
2025|B|12345|1|01|8219067|1|1|1|6|324
2025|B|12345|1|01|8311011|1|1|1|4|133
2025|B|12345|1|01|8411019|1|1|1|7|171
2025|B|12345|1|01|8412017|1|1|1|4|44000
2025|B|12345|1|01|8413015|1|1|1|23|3736
2025|B|12345|1|01|8414013|1|1|1|3|6
2025|B|12345|1|01|8415011|1|1|1|3|600
2025|B|12345|1|01|8422016|1|1|1|17|824
2025|B|12345|1|01|8424012|1|1|1|130|49273
2025|B|12345|1|15|8424012|1|1|1|2|43
2025|B|12345|1|01|8425010|1|1|1|13|208
2025|B|12345|1|01|8426018|1|1|1|9|1562
2025|B|12345|1|01|8426026|1|1|1|9|31766
2025|B|12345|1|01|8427016|1|1|1|6|586
2025|B|12345|1|01|8428014|1|1|1|4|23340
2025|B|12345|1|01|8429012|1|1|1|1|3
2025|B|12345|1|01|8429038|1|1|1|60|104602
2025|B|12345|1|01|8429046|1|1|1|19|241
2025|B|12345|1|01|8511017|1|1|1|17|102
2025|B|12345|1|01|8519011|1|1|1|15|11751
2025|B|12345|1|01|8521016|1|1|1|12|2700
2025|B|12345|1|01|8522014|1|1|1|21|692
2025|B|12345|1|01|8524010|1|1|1|19|184
2025|B|12345|1|01|8611015|1|1|1|36|21174
2025|B|12345|1|01|8612013|1|1|1|6|7
2025|B|12345|1|01|8711013|1|1|1|33|22746
2025|B|12345|1|01|8711021|1|1|1|745|285756
2025|B|12345|1|05|8711021|1|1|1|15|3606
2025|B|12345|1|01|8712011|1|1|1|157|80950
2025|B|12345|1|01|8714017|1|1|1|5|1000
2025|B|12345|1|01|8721012|1|1|1|1|0
2025|B|12345|1|01|8722010|1|1|1|201|186889
2025|B|12345|1|01|8814015|1|1|1|5|261
2025|B|12345|1|01|8827018|1|1|1|12|3026
2025|B|12345|1|01|8839013|1|1|1|3|21000
2025|B|12345|1|01|8839906|1|1|1|16|3116
2025|B|12345|1|01|8911019|1|1|1|31|54809
2025|B|12345|1|01|8913015|1|1|1|30|54746
2025|B|12345|1|01|8914013|1|1|1|15|3154
2025|B|12345|1|01|8915011|1|1|1|24|1485
