ANIO|CLAVE DE FORMULARIO|CLAVE DE LA ENTIDAD|TIPO DE PRODUCTO O SERVICIO|TIPO DE CLIENTE O USUARIO|CLASIFICACION POR GRADO DE RIESGO|PAIS DE NACIONALIDAD|PAIS DE RESIDENCIA|ENTIDAD FEDERATIVA DE RESIDENCIA|ACTIVIDAD ECONOMICA|NUMERO DE CLIENTES O  USUARIOS ACTIVOS AL CIERRE
2025|A2|12345|3|1|1|157|157|15|112095|1
2025|A2|12345|3|1|1|157|157|15|112128|1
2025|A2|12345|3|1|1|157|157|15|112136|1
2025|A2|12345|3|1|1|157|157|15|119017|1
2025|A2|12345|3|1|1|157|157|15|131011|12
2025|A2|12345|3|1|1|157|157|15|149907|3
2025|A2|12345|3|1|1|157|157|15|191023|1
2025|A2|12345|3|1|1|157|157|15|200006|1
2025|A2|12345|3|1|1|157|157|15|211011|1
2025|A2|12345|3|1|1|157|157|15|214015|2
2025|A2|12345|3|1|1|157|157|15|219015|2
2025|A2|12345|3|1|1|157|157|15|219908|1
2025|A2|12345|3|1|1|157|157|15|221010|2
2025|A2|12345|3|1|1|157|157|15|222018|3
2025|A2|12345|3|1|1|157|157|15|231019|1
2025|A2|12345|3|1|1|157|157|15|232017|6
2025|A2|12345|3|1|1|157|157|15|233015|1
2025|A2|12345|3|1|1|157|157|15|241018|1
2025|A2|12345|3|1|1|157|157|15|312017|3
2025|A2|12345|3|1|1|157|157|15|322040|1
2025|A2|12345|3|1|1|157|157|15|442012|1
2025|A2|12345|3|1|1|157|157|15|451013|3
2025|A2|12345|3|1|1|157|157|15|459025|4
2025|A2|12345|3|1|1|157|157|15|1211028|11
2025|A2|12345|3|1|1|157|157|15|1211903|2
2025|A2|12345|3|1|1|157|157|15|1321017|2
2025|A2|12345|3|1|1|157|157|15|1329904|2
2025|A2|12345|3|1|1|157|157|15|2000008|10
2025|A2|12345|3|1|1|157|157|15|2012011|2
2025|A2|12345|3|1|1|157|157|15|2012029|1
2025|A2|12345|3|1|1|157|157|15|2012037|2
2025|A2|12345|3|1|1|157|157|15|2012045|3
2025|A2|12345|3|1|1|157|157|15|2013027|1
2025|A2|12345|3|1|1|157|157|15|2021012|1
2025|A2|12345|3|1|1|157|157|15|2022010|2
2025|A2|12345|3|1|1|157|157|15|2023018|2
2025|A2|12345|3|1|1|157|157|15|2024016|1
2025|A2|12345|3|1|1|157|157|15|2025014|3
2025|A2|12345|3|1|1|157|157|15|2029032|1
2025|A2|12345|3|1|1|157|157|15|2041010|5
2025|A2|12345|3|1|1|157|157|15|2049014|1
2025|A2|12345|3|1|1|157|157|15|2049022|9
2025|A2|12345|3|1|1|157|157|15|2049030|5
2025|A2|12345|3|1|1|157|157|15|2051027|4
2025|A2|12345|3|1|1|157|157|15|2052017|3
2025|A2|12345|3|1|1|157|157|15|2053015|5
2025|A2|12345|3|1|1|157|157|15|2054013|3
2025|A2|12345|3|1|1|157|157|15|2054021|1
2025|A2|12345|3|1|1|157|157|15|2061034|1
2025|A2|12345|3|1|1|157|157|15|2071017|64
2025|A2|12345|3|1|1|157|157|15|2072023|5
2025|A2|12345|3|1|1|157|157|15|2081016|6
2025|A2|12345|3|1|1|157|157|15|2082014|4
2025|A2|12345|3|1|1|157|157|15|2084010|1
2025|A2|12345|3|1|1|157|157|15|2091015|3
2025|A2|12345|3|1|1|157|157|15|2092013|1
2025|A2|12345|3|1|1|157|157|15|2093011|22
2025|A2|12345|3|1|1|157|157|15|2094019|5
2025|A2|12345|3|1|1|157|157|15|2094027|6
2025|A2|12345|3|1|1|157|157|15|2097013|15
2025|A2|12345|3|1|1|157|157|15|2098029|2
2025|A2|12345|3|1|1|157|157|15|2099019|1
2025|A2|12345|3|1|1|157|157|15|2099027|3
2025|A2|12345|3|1|1|157|157|15|2099043|6
2025|A2|12345|3|1|1|157|157|15|2100006|10
2025|A2|12345|3|1|1|157|157|15|2111011|1
2025|A2|12345|3|1|1|157|157|15|2114023|3
2025|A2|12345|3|1|1|157|157|15|2119015|1
2025|A2|12345|3|1|1|157|157|15|2122018|3
2025|A2|12345|3|1|1|157|157|15|2131019|6
2025|A2|12345|3|1|1|157|157|15|2131027|16
2025|A2|12345|3|1|1|157|157|15|2131035|2
2025|A2|12345|3|1|1|157|157|15|2131043|13
2025|A2|12345|3|1|1|157|157|15|2300002|2
2025|A2|12345|3|1|1|157|157|15|2312031|1
2025|A2|12345|3|1|1|157|157|15|2313013|1
2025|A2|12345|3|1|1|157|157|15|2313021|3
2025|A2|12345|3|1|1|157|157|15|2316025|2
2025|A2|12345|3|1|1|157|157|15|2317031|3
2025|A2|12345|3|1|1|157|157|15|2318021|1
2025|A2|12345|3|1|1|157|157|15|2318039|2
2025|A2|12345|3|1|1|157|157|15|2321016|1
2025|A2|12345|3|1|1|157|157|15|2329010|1
2025|A2|12345|3|1|1|157|157|15|2391019|1
2025|A2|12345|3|1|1|157|157|15|2391027|1
2025|A2|12345|3|1|1|157|157|15|2392025|1
2025|A2|12345|3|1|1|157|157|15|2400000|8
2025|A2|12345|3|1|1|157|157|15|2411015|3
2025|A2|12345|3|1|1|157|157|15|2411023|26
2025|A2|12345|3|1|1|157|157|15|2412021|2
2025|A2|12345|3|1|1|157|157|15|2412039|7
2025|A2|12345|3|1|1|157|157|15|2413011|20
2025|A2|12345|3|1|1|157|157|15|2414019|1
2025|A2|12345|3|1|1|157|157|15|2419069|3
2025|A2|12345|3|1|1|157|157|15|2421014|13
2025|A2|12345|3|1|1|157|157|15|2429018|3
